deployment_code,location,species,pi_name,time_coverage_start,base_station
ft11,Kerguelen,Southern ellie,GUINET,2012,PAF
ft12,Kerguelen,Southern ellie,GUINET,2012,PAF
ft13,Australia. West Islan,Sea lion,SARDI,2013,
ft14,Kerguelen,Southern ellie,GUINET,2013,PAF
ft15,French Guyana,Green turtle,IPHC,2013,
ft17,French Guyana,Green turtle,IPHC,2014,
ft18,Kerguelen,Southern ellie,GUINET,2016,PAF
ft20,Naples,Loggerhead turtle,HOCHSCHEID,2016,
ft21,SNI.California,Northern ellie,COSTA,2018,
ft22,Kerguelen,Southern ellie,GUINET,2018,PAF
ft23,Peninsula Valdes,Southern ellie,GUINET,2018,P.Del.
ft24,Kerguelen,Southern ellie,HINDELL,2018,PAF
ft25,Weddell Sea,Weddell seal,NPOLAR,2018,
ft26,California,Northern ellie,COSTA,2019,
hd08,Canada,Hooded seal,DFOMont-Joli,2018,
hd09,Canada,Hoods,DFOMont-Joli,2019,
hd2bb,Canada,Bluebacks,HAMMILL,2004,
hd2f,Canada,Hoods,HAMMILL,2004,
hd2g,Canada,Hoods greenland,HAMMILL,2004,
hd3,Canada,Hoods,HAMMILL,2008,
hd5bb,Canada,Bluebacks,HAMMILL,2006,
hd6,Canada,Hoods greenland,HAMMILL,2007,
hg19,Canada,Grey seal,HAMMILL,2008,
hg37,Tromso,Hg,NINA,2012,
hg37g,Tromso,Hg,NINA,2012,
hg4,Canada,Grey,HAMMILL,2004,
hg42,Tromso,Hg,NINA,2015,
hg47,Baltic,Hg,ROQUET,2016,
hg9,Canada,Sable Grey,HAMMILL,2007,
hp2,Canada,Harps,HAMMILL,2004,
kp01,Davis,Southern ellie,IMOS,2017,
pv52,pv52,pv52,pv52,pv52,
rs11,Canada,Ringed seal,HAMMILL,2012,
rs14,Ilulissat. Greenland,Ringed seal,HOLLAND,2012,
rs15,Ilulissat. Greenland,Ringed seal,HOLLAND,2012,
rs17,Ilulissat. Greenland,Ringed seal,HOLLAND,2013,
rs18,Canada,Ringed seal,HAMMILL,2013,
rs19,Ilulissat. Greenland,Ringed seal,HOLLAND,2013,
rs22,Sermilik. Greenland,Ringed seal,HOLLAND,2014,
rs23,Sermilik. Greenland,Ringed seal,HOLLAND,2015,
rs27,Sermilik. Greenland,Ringed seal,HOLLAND,2015,
rs28,rs28,rs28,rs28,rs28,
rs29,Sermilik. Greenland,Ringed seal,HOLLAND,2016,
rs31,Sermilik. Greenland,Ringed seal,HOLLAND,2017,
rs32,Greenland,Ringed seal,GINR,2017,
rs34,Ilulissat. Greenland,Ringed seal,HOLLAND,2018,
rs6,Canada,Ringed seal,HAMMILL,2010,
rs9,Canada,Ringed seal,HAMMILL,2011,
vc03,vc03,vc03,vc03,vc03,
vc04,vc04,vc04,vc04,vc04,
